ID,site,category,difficulty,task_description,task_id,task_link,evaluation_result,evaluation_reason,result_flag
0,https://www.acehardware.com,READ,easy,"On the product details page for the ""Black & Decker Power Tool Combo Kit,"" list its specifications including dimensions, voltage, and warranty information.
Only use http://acehardware.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",68d17a73-8240-4b47-bb52-8de5d901c422,https://cloud.browser-use.com/agent/68d17a73-8240-4b47-bb52-8de5d901c422,failure,"The user successfully typed in 'Black & Decker' power tool combo kit, but a 'Sorry, you have been blocked' message appeared. They attempted this twice with the same result.",0
1,https://www.acehardware.com,READ,hard,"Visit the store locator page to find out which Ace Hardware stores in California offer in-store pickup for online orders, then list the store names and addresses.
Only use http://acehardware.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",ac01cc85-c9e4-4346-b7c9-6f7afdd7daa8,https://cloud.browser-use.com/agent/ac01cc85-c9e4-4346-b7c9-6f7afdd7daa8,failure,The task cannot be completed because ongoing network issues (ERR_TUNNEL_CONNECTION_FAILED) are blocking access to all necessary webpages.,0
2,https://www.acehardware.com,READ,easy,"Search for ""LED light bulbs"" on AceHardware.com and provide the titles and sale prices of the first 5 products that appear.
Only use http://acehardware.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",83e5ca55-1e8b-44f4-b1a1-01c6ed0378d9,https://cloud.browser-use.com/agent/83e5ca55-1e8b-44f4-b1a1-01c6ed0378d9,failure,The task cannot be completed because ongoing network issues (ERR_TUNNEL_CONNECTION_FAILED) are blocking access to all necessary webpages.,0
5,https://www.agoda.com,DELETE,hard,"Log in to your Agoda account, add a hotel from your recent search to your favorites list, and then remove it; finally, verify that it no longer appears in your favorites.
Only use http://agoda.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",93d78521-b536-4a26-9359-0043c3ff3cce,https://cloud.browser-use.com/agent/93d78521-b536-4a26-9359-0043c3ff3cce,failure,"no video, not enough info",0
7,https://www.agoda.com,READ,easy,"Search for hotels in London, UK that offer free Wi-Fi and list the names and addresses of the first 3 properties found.
Only use http://agoda.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",9ae1e4d6-5ae3-4f35-9b01-ad5e87130330,https://cloud.browser-use.com/agent/9ae1e4d6-5ae3-4f35-9b01-ad5e87130330,failure,"The user successfully found hotels in London, but only two of them offer free Wi-Fi, and the addresses are not displayed.",0
9,https://www.agoda.com,READ,hard,"Search for hotels in Tokyo, Japan that offer a swimming pool and are marked as family-friendly, then list the names, nightly prices, and ratings of the top 5 results.
Only use http://agoda.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",56b133ca-dc6c-45b1-b7d1-a40408adc9eb,https://cloud.browser-use.com/agent/56b133ca-dc6c-45b1-b7d1-a40408adc9eb,failure,"The user successfully retrieved a list of hotels in Tokyo, used the swimming pool filter, but was unable to display five hotels with swimming pools marked as family-friendly.",0
10,https://www.agoda.com,READ,hard,"Use the flight search tool to find options from Sydney to Auckland on a specific travel date, then summarize in text the pricing differences between economy and business classes.
Only use http://agoda.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",dee1bd09-34f7-4b54-a2c0-f4d5af7ceb3d,https://cloud.browser-use.com/agent/dee1bd09-34f7-4b54-a2c0-f4d5af7ceb3d,failure,"The user successfully searched for business class flights and then attempted to switch from business to economy class. However, they were unable to complete the process, as they did not click the ""search"" button to compare the prices.








",0
11,https://www.agoda.com,READ,easy,"Apply the filter for hotels in Bali, Indonesia that offer free cancellation and list the first 5 properties with their nightly rates.
Only use http://agoda.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",b4db395f-f08f-4e49-8425-076c1ae8ba79,https://cloud.browser-use.com/agent/b4db395f-f08f-4e49-8425-076c1ae8ba79,success,"The user successfully applied the filter for free cancellation and retrieved a list of five hotels. Although only two hotels were shown in the video, the user researched the remaining three on the site, confirmed that they offered free cancellation, and therefore successfully completed the task.",1
15,https://www.airbnb.com,CREATE,easy,"Log in and send a message to the host of a New York City apartment asking about Wi-Fi availability and check-out time.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",6decbcf0-40d9-4eef-882f-efc4ebbd691e,https://cloud.browser-use.com/agent/6decbcf0-40d9-4eef-882f-efc4ebbd691e,failure,The user was unable to log in.,0
16,https://www.airbnb.com,CREATE,hard,"Log in, go to ""Airbnb your home"" in the top right of your homepage, list a new property called “Cozy Downtown Loft” by providing a title, detailed description, pricing, and at least three key amenities.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",5626b31d-fa0b-45a5-a495-a4a0b07cbfea,https://cloud.browser-use.com/agent/5626b31d-fa0b-45a5-a495-a4a0b07cbfea,failure,The user was unable to log in.,0
17,https://www.airbnb.com,CREATE,easy,"Go to Airbnb Experience for Bangkok and look for a food tour and list the itinerary and pricing information.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",c414e6cf-93f8-4f62-acb2-b26bc2e043cb,https://cloud.browser-use.com/agent/c414e6cf-93f8-4f62-acb2-b26bc2e043cb,success,"The user skillfully accessed the experience section and was able to retrieve a detailed food tour itinerary based in Bangkok, which included comprehensive pricing information.",1
19,https://www.airbnb.com,DELETE,easy,"Log in to your Airbnb account, save a Guest Favorite property to your wishlist, and then go to your wishlist and remove the property you previously added.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",b5c897c0-ac5d-4290-96ed-36a1fda20f97,https://cloud.browser-use.com/agent/b5c897c0-ac5d-4290-96ed-36a1fda20f97,failure,The user was unable to log in.,0
20,https://www.airbnb.com,DELETE,hard,"Log in to Airbnb, send a query to a host of a New York City property, and then delete your message confirming that the message does not appear on your profile.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",e960add4-4f0a-40f9-b656-284fd9e89581,https://cloud.browser-use.com/agent/e960add4-4f0a-40f9-b656-284fd9e89581,failure,The user was unable to log in.,0
21,https://www.airbnb.com,READ,hard,"Filter properties in Chicago by those offering free cancellation for a one-week stay in August, then list the first five options with their prices.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",6aae4235-e7b2-4a1d-a8a3-ec590ff31815,https://cloud.browser-use.com/agent/6aae4235-e7b2-4a1d-a8a3-ec590ff31815,failure,"Although the user successfully extracted a list of properties in Chicago that offer free cancellation for a one-week stay in August, it did not 'filter' the properties based on free cancellation offers. The user just extracted the information from the results, which is explicitly stated there.
My rationale of giving a ""Failure"" grade is that, if the task requirement is to filter the properties with a different attribute/feature (a feature that is not explicitly stated in the results or anywhere), the user might not come up with a list of properties.",0
22,https://www.airbnb.com,READ,easy,"Browse the “Play” section in Paris and extract the titles and brief descriptions of the top five properties.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",6d3776fe-e5ac-49a0-9d8e-982e6b079304,https://cloud.browser-use.com/agent/6d3776fe-e5ac-49a0-9d8e-982e6b079304,failure,"Probably due to internet connectivity issues, it shows the error ""The site can't be reached"" when the user went to https://www.airbnb.com/. Then, the page refreshed and the URL bar now showed example.com. Still, the site can't be reached.",0
23,https://www.airbnb.com,READ,easy,"Review the Airbnb Community Guidelines in the Help Center and extract three important points regarding guest conduct.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",e1bd25f8-30fc-4a06-8c54-67416cff58da,https://cloud.browser-use.com/agent/e1bd25f8-30fc-4a06-8c54-67416cff58da,success,The user was able to review the Airbnb Community Guidelines (standards) in the Help Center and extract three important points regarding guest conduct.,1
24,https://www.airbnb.com,READ,hard,"Search for beachfront properties in Miami with nightly rates under $300, and list the top three property names along with their prices.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",abffe4eb-7270-47ac-a20c-b869feb08831,https://cloud.browser-use.com/agent/abffe4eb-7270-47ac-a20c-b869feb08831,failure,"(No video supplied) In the summary, there seems to be an intrusive pop-up that the user was unable to close while setting the price criteria of 'under $300'. The user tried several times to close this until the session stopped.",0
